arch,seed,val_accuracy_mean,val_accuracy_std,foldcnt_x,val_f1score_mean,val_f1score_std,foldcnt_y,nsamples
resnet50,42,0.9081692434687548,0.010671553896797071,20,0.9080956814313017,0.010860040430318895,20,670
resnet50,1328,0.9051092073265957,0.012764720345204936,20,0.9049081981837425,0.012906901779273332,20,670
resnet50,1329,0.9071239095999821,0.010749098667353536,20,0.906893566970659,0.01106470552972463,20,670
resnet50,1330,0.9052587957075608,0.014923257534625388,20,0.9051578346651661,0.015056565990480025,20,670
resnet50,1331,0.9051829417932759,0.01333762806479131,20,0.9050458659764962,0.013596262870051409,20,670
resnet50,1332,0.9067513330209938,0.013182739926049588,20,0.9066876625519125,0.013388837672763046,20,670
resnext50,42,0.9404968431385672,0.0119524331182456,20,0.9403680206178343,0.011977775698819146,20,670
resnext50,1328,0.9431100104856883,0.011092426477708021,20,0.9429728154321021,0.011293098161027332,20,670
resnext50,1329,0.9415408384088526,0.010988022655550865,20,0.9414716536096617,0.011075533341498555,20,670
resnext50,1330,0.9446766169154228,0.00973183489725597,20,0.9445749170262465,0.009788903763514253,20,670
resnext50,1331,0.943409856546862,0.010773865997188386,20,0.9432682594662852,0.011017512220760518,20,670
resnext50,1332,0.9440798250897977,0.009693919436416272,20,0.9440546611067487,0.009720806257996244,20,670
vit_small,42,0.7447386386453383,0.016415582880148372,20,0.743598680878005,0.01691122278526312,20,670
vit_small,1328,0.7447425428909266,0.022077829756282003,20,0.7439839888165041,0.02239921498425915,20,670
vit_small,1329,0.7427999018361109,0.02070084359562873,20,0.7419641580476685,0.02133789770773356,20,670
vit_small,1330,0.7464563951542734,0.020935066993016473,20,0.7456030857312561,0.021193241542136445,20,670
vit_small,1331,0.7453373268188207,0.01964392135998068,20,0.744572438520545,0.019328200904175065,20,670
vit_small,1332,0.740632153135667,0.017043890437120696,20,0.739735888790869,0.01696687361333842,20,670
